layer,energy_ratio,accuracy
original,1.0,0.9994836
1,1.0238771438598633,0.9500137567520142
2,1.0317240953445435,0.9501888155937195
3,1.0337634086608887,0.9500070810317993
4,1.0358508825302124,0.9500101208686829
5,1.0389596223831177,0.9500020146369934
6,1.0418647527694702,0.9500013589859009
7,1.0439211130142212,0.9500035047531128
8,1.04587984085083,0.9500015377998352
9,1.0480480194091797,0.9500011205673218
10,1.0483330488204956,0.9500063061714172
11,1.0483330488204956,0.9500063061714172
