layer,energy_ratio,accuracy
original,1.0,0.99943495
1,1.0259158611297607,0.9500192403793335
2,1.0335520505905151,0.9500871896743774
3,1.0358814001083374,0.9500036239624023
4,1.037939190864563,0.9500070810317993
5,1.0426361560821533,0.9500101208686829
6,1.045710802078247,0.9500002861022949
7,1.0481311082839966,0.9500018358230591
8,1.0496480464935303,0.9500013589859009
9,1.0522032976150513,0.9500001072883606
10,1.052652359008789,0.9500070810317993
11,1.052652359008789,0.9500070810317993
