layer,accuracy,energy_ratio,energy_pj
original,0.9106,0.678547,1556411300000.0
batchnorm2d_1,0.8907,0.6861587,1573886400000.0
batchnorm2d_4,0.891,0.6900978,1582930500000.0
batchnorm2d_8,0.8908,0.6903435,1583493700000.0
batchnorm2d_11,0.8913,0.69082,1584588900000.0
batchnorm2d_15,0.8909,0.6910634,1585147800000.0
batchnorm2d_18,0.8907,0.69166887,1586537200000.0
batchnorm2d_21,0.8907,0.69166887,1586537200000.0
batchnorm2d_25,0.8908,0.6919858,1587264400000.0
batchnorm2d_28,0.8907,0.6920959,1587517000000.0
batchnorm2d_31,0.8907,0.6921379,1587613000000.0
batchnorm2d_35,0.8907,0.6923231,1588038000000.0
batchnorm2d_38,0.8907,0.6923364,1588068600000.0
batchnorm2d_41,0.8907,0.6926834,1588864700000.0
