layer,accuracy,energy_ratio,energy_pj
original,0.9106,0.678547,1556411300000.0
batchnorm2d_1,0.8609,0.692534,1588521000000.0
batchnorm2d_4,0.8609,0.7035904,1613903400000.0
batchnorm2d_8,0.8616,0.70626515,1620044400000.0
batchnorm2d_11,0.8607,0.7072851,1622385400000.0
batchnorm2d_15,0.8607,0.70746195,1622791200000.0
batchnorm2d_18,0.8607,0.7083679,1624871400000.0
batchnorm2d_21,0.8608,0.708687,1625604000000.0
batchnorm2d_25,0.8606,0.7088558,1625991200000.0
batchnorm2d_28,0.8606,0.7089154,1626128100000.0
batchnorm2d_31,0.8606,0.7090109,1626346900000.0
batchnorm2d_35,0.8606,0.7090306,1626392500000.0
batchnorm2d_38,0.8606,0.7090348,1626401900000.0
batchnorm2d_41,0.8606,0.709052,1626441400000.0
