layer,accuracy,energy_ratio,energy_pj
original,0.9106,0.678547,1556411300000.0
batchnorm2d_1,0.8614,0.6848582,1570889800000.0
batchnorm2d_4,0.8614,0.6848582,1570889800000.0
batchnorm2d_8,0.8614,0.6848582,1570889800000.0
batchnorm2d_11,0.8614,0.6848582,1570889800000.0
batchnorm2d_15,0.8614,0.6848582,1570889800000.0
batchnorm2d_18,0.8608,0.6863355,1574306800000.0
batchnorm2d_21,0.8606,0.68767357,1577378300000.0
batchnorm2d_25,0.8606,0.68826187,1578728200000.0
batchnorm2d_28,0.8606,0.68826187,1578728200000.0
batchnorm2d_31,0.8606,0.68826187,1578728200000.0
batchnorm2d_35,0.8608,0.6884583,1579179400000.0
batchnorm2d_38,0.8606,0.6885723,1579439900000.0
batchnorm2d_41,0.8608,0.6891023,1580656400000.0
