layer,accuracy,energy_ratio,energy_pj
original,0.9076,1.0,2294096000000.0
batchnorm2d_1,0.8577,1.0,2294096000000.0
batchnorm2d_4,0.8577,1.0,2294096000000.0
batchnorm2d_8,0.8581,1.0,2294096000000.0
batchnorm2d_11,0.858,1.0,2294096000000.0
batchnorm2d_15,0.8576,1.0,2294096000000.0
batchnorm2d_18,0.8576,1.0,2294096000000.0
batchnorm2d_21,0.8576,1.0,2294096000000.0
batchnorm2d_25,0.8577,1.0,2294096000000.0
batchnorm2d_28,0.8576,1.0,2294096000000.0
batchnorm2d_31,0.8576,1.0,2294096000000.0
batchnorm2d_35,0.8576,1.0,2294096000000.0
batchnorm2d_38,0.8576,1.0,2294096000000.0
batchnorm2d_41,0.8585,1.0000002,2294096600000.0
