layer,accuracy,energy_ratio,energy_pj
original,0.8798099762470308,0.6594367,1528335300000.0
batchnorm2d_1,0.8299287410926366,0.68119466,1578759400000.0
batchnorm2d_4,0.8300079176563737,0.6872588,1592812900000.0
batchnorm2d_8,0.8298495645288995,0.6917504,1603224900000.0
batchnorm2d_11,0.830166270783848,0.6953065,1611466500000.0
batchnorm2d_15,0.8299287410926366,0.69665664,1614596100000.0
batchnorm2d_18,0.8299287410926366,0.69739676,1616312300000.0
batchnorm2d_21,0.8300079176563737,0.69956017,1621327600000.0
batchnorm2d_25,0.8298495645288995,0.7002409,1622905800000.0
batchnorm2d_28,0.8300870942201108,0.7011561,1625027900000.0
batchnorm2d_31,0.8300870942201108,0.70142156,1625642900000.0
batchnorm2d_35,0.8298495645288995,0.70152426,1625880700000.0
batchnorm2d_38,0.8299287410926366,0.70165956,1626194400000.0
batchnorm2d_41,0.8298495645288995,0.7023043,1627689000000.0
