layer,accuracy,energy_ratio,energy_pj
original,0.8911322248614411,1.0,2317749000000.0
batchnorm2d_1,0.8411718131433096,1.0,2317749000000.0
batchnorm2d_4,0.8411718131433096,1.0,2317749000000.0
batchnorm2d_8,0.8418844022169438,1.0,2317749000000.0
batchnorm2d_11,0.841963578780681,1.0,2317749000000.0
batchnorm2d_15,0.8412509897070467,1.0,2317749000000.0
batchnorm2d_18,0.8426761678543151,1.0000011,2317751700000.0
batchnorm2d_21,0.8426761678543151,1.0000011,2317751700000.0
batchnorm2d_25,0.8426761678543151,1.0000011,2317751700000.0
batchnorm2d_28,0.8426761678543151,1.0000011,2317751700000.0
batchnorm2d_31,0.8426761678543151,1.0000011,2317751700000.0
batchnorm2d_35,0.8426761678543151,1.0000011,2317751700000.0
batchnorm2d_38,0.8426761678543151,1.0000011,2317751700000.0
batchnorm2d_41,0.8426761678543151,1.0000011,2317751700000.0
