layer,accuracy,energy_ratio,energy_pj
original,0.9903,0.737857,1689447000000.0
batchnorm2d_1,0.9898,0.7608925,1742185600000.0
batchnorm2d_4,0.9807,0.7869389,1801829200000.0
batchnorm2d_8,0.9811,0.7911104,1811374900000.0
batchnorm2d_11,0.9805,0.7975172,1826050000000.0
batchnorm2d_15,0.9806,0.79998404,1831703500000.0
batchnorm2d_18,0.9809,0.8017519,1835753900000.0
batchnorm2d_21,0.9811,0.80521506,1843690600000.0
batchnorm2d_25,0.9811,0.80756056,1849063500000.0
batchnorm2d_28,0.9805,0.80941296,1853307700000.0
batchnorm2d_31,0.9804,0.8112985,1857626600000.0
batchnorm2d_35,0.9866,0.81217194,1859627100000.0
batchnorm2d_38,0.9865,0.8130925,1861735200000.0
batchnorm2d_41,0.9871,0.81424206,1864368400000.0
