layer,accuracy,energy_ratio,energy_pj
original,0.9904,1.0,2289914600000.0
batchnorm2d_1,0.9404,1.0,2289914600000.0
batchnorm2d_4,0.9435,1.0,2289914600000.0
batchnorm2d_8,0.9608,1.0,2289914600000.0
batchnorm2d_11,0.9408,1.0,2289914600000.0
batchnorm2d_15,0.9559,1.0,2289914600000.0
batchnorm2d_18,0.9409,1.0,2289914600000.0
batchnorm2d_21,0.9407,1.0,2289914600000.0
batchnorm2d_25,0.9482,1.0,2289914600000.0
batchnorm2d_28,0.9481,1.0,2289914600000.0
batchnorm2d_31,0.9444,1.0,2289914600000.0
batchnorm2d_35,0.9639,1.0,2289914600000.0
batchnorm2d_38,0.9545,1.0000001,2289915000000.0
batchnorm2d_41,0.9545,1.0000001,2289915000000.0
