layer,accuracy,energy_ratio,energy_pj
original,0.5494,0.67051053,6091330600000.0
batchnorm2d_1,0.5398,0.6761183,6142276700000.0
batchnorm2d_4,0.5398,0.6761183,6142276700000.0
batchnorm2d_8,0.5395,0.6766332,6146955000000.0
batchnorm2d_11,0.54,0.677868,6158179400000.0
batchnorm2d_15,0.5397,0.6781581,6160813000000.0
batchnorm2d_18,0.5397,0.67825913,6161731400000.0
batchnorm2d_21,0.5395,0.6786469,6165255000000.0
batchnorm2d_25,0.5395,0.6788031,6166673400000.0
batchnorm2d_28,0.5395,0.6788287,6166907000000.0
batchnorm2d_31,0.5396,0.6788407,6167016000000.0
batchnorm2d_35,0.5395,0.678877,6167345500000.0
batchnorm2d_38,0.5398,0.6789475,6167986700000.0
batchnorm2d_41,0.5395,0.67918694,6170161400000.0
