layer,accuracy,energy_ratio,energy_pj
original,0.5634,1.0,9084642000000.0
batchnorm2d_1,0.5135,1.0,9084642000000.0
batchnorm2d_4,0.5139,1.0,9084642000000.0
batchnorm2d_8,0.5135,1.0,9084642000000.0
batchnorm2d_11,0.5154,1.0,9084642000000.0
batchnorm2d_15,0.5138,1.0,9084642000000.0
batchnorm2d_18,0.5135,1.0,9084642000000.0
batchnorm2d_21,0.5138,1.0,9084642000000.0
batchnorm2d_25,0.514,1.0,9084642000000.0
batchnorm2d_28,0.5137,1.0,9084642000000.0
batchnorm2d_31,0.5135,1.0,9084642000000.0
batchnorm2d_35,0.5136,1.0,9084642000000.0
batchnorm2d_38,0.5136,1.0,9084642000000.0
batchnorm2d_41,0.5135,1.0,9084642000000.0
