layer,accuracy,energy_ratio,energy_pj
original,0.9224,0.7355629,3381689300000.0
batchnorm2d_1,0.9226,0.7366137,3386525000000.0
batchnorm2d_4,0.9224,0.7379405,3392629400000.0
batchnorm2d_9,0.9224,0.7404464,3404148200000.0
batchnorm2d_14,0.9224,0.7404982,3404386800000.0
batchnorm2d_21,0.9226,0.74072033,3405408000000.0
batchnorm2d_26,0.9229,0.74101746,3406774400000.0
batchnorm2d_33,0.9224,0.7410895,3407105500000.0
batchnorm2d_38,0.9224,0.7412396,3407794700000.0
batchnorm2d_45,0.9224,0.7416058,3409478000000.0
