layer,accuracy,energy_ratio,energy_pj
original,0.9276326207442597,0.7689143,3571741400000.0
batchnorm2d_1,0.927870150435471,0.7715821,3584126600000.0
batchnorm2d_4,0.927870150435471,0.77199,3586020900000.0
batchnorm2d_9,0.9283452098178939,0.7731574,3591446200000.0
batchnorm2d_14,0.9276326207442597,0.77502894,3600139700000.0
batchnorm2d_21,0.9280285035629454,0.7762865,3605981800000.0
batchnorm2d_26,0.9276326207442597,0.77666044,3607719000000.0
batchnorm2d_33,0.9276326207442597,0.7771147,3609829000000.0
batchnorm2d_38,0.9276326207442597,0.77744097,3611345000000.0
batchnorm2d_45,0.9276326207442597,0.7789764,3618478800000.0
