layer,accuracy,energy_ratio,energy_pj
original,0.9866,0.7665357,4198707200000.0
batchnorm2d_1,0.9814,0.7891702,4322669000000.0
batchnorm2d_4,0.9769,0.797564,4368653600000.0
batchnorm2d_9,0.9768,0.7999945,4381969200000.0
batchnorm2d_14,0.9773,0.8025007,4395696000000.0
batchnorm2d_21,0.977,0.8051947,4410450000000.0
batchnorm2d_26,0.9767,0.80656433,4417951600000.0
batchnorm2d_33,0.9767,0.80719244,4421393000000.0
batchnorm2d_38,0.9768,0.8093747,4433346000000.0
batchnorm2d_45,0.9774,0.8121845,4448735700000.0
