layer,accuracy,energy_ratio,energy_pj
original,0.5654,0.7463102,3449140300000.0
batchnorm2d_1,0.5456,0.74879706,3460619300000.0
batchnorm2d_4,0.5457,0.7488467,3460849200000.0
batchnorm2d_9,0.5466,0.74930406,3462964000000.0
batchnorm2d_14,0.5463,0.7500514,3466416400000.0
batchnorm2d_21,0.546,0.7501501,3466873000000.0
batchnorm2d_26,0.5459,0.7504612,3468311400000.0
batchnorm2d_33,0.5459,0.7504612,3468311400000.0
batchnorm2d_38,0.5457,0.750471,3468356700000.0
batchnorm2d_45,0.5455,0.7505487,3468716100000.0
