layer,accuracy,energy_ratio,energy_pj
original,0.5604,0.7727992,3571572000000.0
batchnorm2d_1,0.538,0.7733933,3574307500000.0
batchnorm2d_4,0.5106,0.77641326,3588269000000.0
batchnorm2d_9,0.5106,0.77794486,3595350300000.0
batchnorm2d_14,0.5105,0.7793785,3601972300000.0
batchnorm2d_21,0.5108,0.78078115,3608450400000.0
batchnorm2d_26,0.5105,0.78102964,3609599100000.0
batchnorm2d_33,0.5106,0.78127563,3610735800000.0
batchnorm2d_38,0.511,0.7813443,3611053300000.0
batchnorm2d_45,0.5105,0.78138155,3611225800000.0
